	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
P30_KM73_VI_D	0.890243902	0.91025641	0.818181818	0.918269231	0.850877193	0.762886598	0.725490196	0.867924528	0.768656716	0.875	0.830409357	0.855855856	0.826923077	0.769784173	0.873626374	0.774774775	0.885245902	0.898876404	0.868686869	0.833333333	0.853146853	0.81512605	0.793478261	0.67816092	0.911504425	0.789915966	0.75	0	0.839694656	0.922077922	0.920454545	0.902439024	0.808695652	0.920792079	0.897727273	0.870748299	0.906832298	0.926829268	0.79338843	0.888198758	0.865168539	0.954545455	0.756097561	0.916666667
P36_KJ78_I_D	0.899159664	0.949579832	0.870689655	0.927125506	0.903846154	0.873239437	0.866666667	0.888888889	0.84180791	0.89010989	0.84057971	0.943037975	0.897959184	0.82122905	0.896396396	0.810810811	0.906832298	0.930232558	0.914285714	0.869281046	0.872928177	0.85443038	0.838461538	0.843283582	0.908396947	0.864197531	0.879310345	0.839694656	0	0.836158192	0.92	0.898305085	0.744680851	0.911392405	0.9296875	0.809248555	0.909090909	0.909090909	0.865853659	0.910447761	0.906976744	0.953271028	0.845528455	0.903361345
P36_KJ78_III_D	0.875968992	0.938931298	0.917910448	0.943181818	0.898809524	0.905660377	0.904761905	0.896226415	0.936893204	0.925373134	0.928270042	0.928994083	0.920245399	0.918269231	0.925311203	0.908045977	0.926553672	0.951724138	0.935897436	0.919075145	0.936585366	0.898305085	0.89261745	0.916666667	0.943661972	0.912087912	0.922680412	0.922077922	0.836158192	0	0.853846154	0.866141732	0.889534884	0.9375	0.936619718	0.905472637	0.87804878	0.904761905	0.924731183	0.921296296	0.938356164	0.9375	0.916666667	0.92578125
P36_KJ78_IV_D	0.806451613	0.885245902	0.895522388	0.96	0.914285714	0.915789474	0.933962264	0.934640523	0.935251799	0.941605839	0.942196532	0.910891089	0.90625	0.937931034	0.94972067	0.918181818	0.908256881	0.905405405	0.882352941	0.905660377	0.942446043	0.892857143	0.906976744	0.923076923	0.968468468	0.923728814	0.946564885	0.920454545	0.92	0.853846154	0	0.54	0.918918919	0.936507937	0.823529412	0.958041958	0.918367347	0.960784314	0.942622951	0.95483871	0.909090909	0.95625	0.896103896	0.959183673
P36_KJ78_VI_D	0.789473684	0.875	0.868852459	0.942708333	0.852631579	0.886363636	0.909090909	0.925170068	0.940740741	0.923076923	0.934131737	0.928571429	0.901098901	0.935714286	0.942196532	0.903846154	0.893203883	0.882352941	0.875	0.89	0.932330827	0.877358491	0.858974359	0.905882353	0.953271028	0.929824561	0.927419355	0.902439024	0.898305085	0.866141732	0.54	0	0.904761905	0.940540541	0.80952381	0.941176471	0.9	0.945205479	0.92173913	0.939189189	0.871428571	0.941176471	0.873239437	0.941489362
P37_SJ55_I_D	0.895238095	0.910891089	0.84	0.922413793	0.869565217	0.81147541	0.816793893	0.848314607	0.782051282	0.873493976	0.790322581	0.898550725	0.8515625	0.767295597	0.87804878	0.770992366	0.866197183	0.891891892	0.87704918	0.812030075	0.847560976	0.797101449	0.807017544	0.782608696	0.902834008	0.809859155	0.860759494	0.808695652	0.744680851	0.889534884	0.918918919	0.904761905	0	0.895454545	0.900900901	0.735099338	0.889502762	0.883333333	0.804195804	0.872928177	0.875	0.949748744	0.813084112	0.916299559
P37_SJ55_II_D	0.91160221	0.938888889	0.917582418	0.921824104	0.897674419	0.902912621	0.907407407	0.9	0.928853755	0.901639344	0.93006993	0.931192661	0.903846154	0.91796875	0.927586207	0.9	0.894977169	0.914893617	0.920792079	0.908675799	0.915662651	0.907079646	0.909547739	0.927184466	0.926829268	0.927038627	0.917012448	0.920792079	0.911392405	0.9375	0.936507937	0.940540541	0.895454545	0	0.902702703	0.898785425	0.858299595	0.88976378	0.93220339	0.93258427	0.932989691	0.949275362	0.916666667	0.927868852
P37_SJ55_III_D	0.754098361	0.75	0.774193548	0.911917098	0.851485149	0.75	0.776595745	0.885135135	0.943661972	0.894736842	0.924418605	0.795698925	0.726190476	0.909090909	0.926553672	0.9	0.79	0.723076923	0.772151899	0.808080808	0.853846154	0.811320755	0.843373494	0.901098901	0.945205479	0.915966387	0.90625	0.897727273	0.9296875	0.936619718	0.823529412	0.80952381	0.900900901	0.902702703	0	0.944055944	0.874125874	0.912162162	0.943548387	0.955414013	0.883116883	0.930379747	0.855263158	0.927083333
P37_SJ55_IV_D	0.949275362	0.954887218	0.909774436	0.943181818	0.930635838	0.884615385	0.884848485	0.906542056	0.853403141	0.914572864	0.845454545	0.947674419	0.913580247	0.834196891	0.893162393	0.819875776	0.914285714	0.937062937	0.929032258	0.880239521	0.898989899	0.846153846	0.862068966	0.880794702	0.920863309	0.875	0.9	0.870748299	0.809248555	0.905472637	0.958041958	0.941176471	0.735099338	0.898785425	0.944055944	0	0.844221106	0.808290155	0.876404494	0.885167464	0.923611111	0.96069869	0.877697842	0.917322835
P37_SJ55_V_D	0.860294118	0.888059701	0.892857143	0.901140684	0.87283237	0.864197531	0.865497076	0.875576037	0.914691943	0.892156863	0.92244898	0.908571429	0.858895706	0.906976744	0.902040816	0.876404494	0.850574713	0.875	0.886075949	0.867816092	0.887804878	0.867403315	0.878205128	0.908536585	0.923611111	0.910994764	0.905	0.906832298	0.909090909	0.87804878	0.918367347	0.9	0.889502762	0.858299595	0.874125874	0.844221106	0	0.781725888	0.877005348	0.890410959	0.885135135	0.917030568	0.900662252	0.91221374
P37_SJ55_VI_D	0.916083916	0.928057554	0.931034483	0.941391941	0.910614525	0.904761905	0.897727273	0.890909091	0.919811321	0.918660287	0.904564315	0.938888889	0.899408284	0.901869159	0.919678715	0.870056497	0.882681564	0.92	0.920245399	0.899441341	0.914285714	0.867403315	0.892405063	0.93452381	0.941979522	0.916666667	0.915841584	0.926829268	0.909090909	0.904761905	0.960784314	0.945205479	0.883333333	0.88976378	0.912162162	0.808290155	0.781725888	0	0.90052356	0.895454545	0.928571429	0.94017094	0.91503268	0.93258427
P43_BR63_I_D	0.903508772	0.927927928	0.883928571	0.920833333	0.885135135	0.833333333	0.820143885	0.89119171	0.793939394	0.88	0.8	0.904761905	0.893617021	0.801169591	0.903669725	0.827586207	0.917197452	0.935483871	0.934306569	0.879194631	0.906077348	0.848684211	0.84	0.798387097	0.918918919	0.858974359	0.875	0.79338843	0.865853659	0.924731183	0.942622951	0.92173913	0.804195804	0.93220339	0.943548387	0.876404494	0.877005348	0.90052356	0	0.796610169	0.865546218	0.920792079	0.857142857	0.928571429
P43_BR63_III_D	0.917808219	0.95890411	0.910344828	0.914498141	0.912087912	0.9	0.91160221	0.902222222	0.873786408	0.882926829	0.868644068	0.945652174	0.93220339	0.893023256	0.916334661	0.902702703	0.937172775	0.962264151	0.959302326	0.918918919	0.935483871	0.910994764	0.90797546	0.910179641	0.931740614	0.889473684	0.906403941	0.888198758	0.910447761	0.921296296	0.95483871	0.939189189	0.872928177	0.93258427	0.955414013	0.885167464	0.890410959	0.895454545	0.796610169	0	0.929936306	0.931914894	0.909677419	0.937269373
P8_LV78_II_D	0.84057971	0.878787879	0.84057971	0.924623116	0.857142857	0.87628866	0.877358491	0.909677419	0.915492958	0.889705882	0.907514451	0.895238095	0.900990099	0.896551724	0.922222222	0.873873874	0.89380531	0.884615385	0.89010989	0.880733945	0.907142857	0.859649123	0.837209302	0.844444444	0.931818182	0.900826446	0.875	0.865168539	0.906976744	0.938356164	0.909090909	0.871428571	0.875	0.932989691	0.883116883	0.923611111	0.885135135	0.928571429	0.865546218	0.929936306	0	0.911949686	0.8625	0.95
P8_LV78_III_D	0.883561644	0.924657534	0.898648649	0.923913043	0.89673913	0.915254237	0.925531915	0.918454936	0.951327434	0.896226415	0.941634241	0.935828877	0.922222222	0.943478261	0.934615385	0.93877551	0.922279793	0.924050633	0.923976608	0.921052632	0.936936937	0.913265306	0.890909091	0.949438202	0.943521595	0.941176471	0.924170616	0.954545455	0.953271028	0.9375	0.95625	0.941176471	0.949748744	0.949275362	0.930379747	0.96069869	0.917030568	0.94017094	0.920792079	0.931914894	0.911949686	0	0.9125	0.938405797
P8_LV78_IV_D	0.842857143	0.880597015	0.65	0.897435897	0.836538462	0.791208791	0.787878788	0.827586207	0.851851852	0.865671642	0.862275449	0.896226415	0.845360825	0.798507463	0.885714286	0.8	0.854545455	0.826666667	0.827586207	0.782178218	0.796875	0.787037037	0.688311688	0.734939759	0.917431193	0.814159292	0.830645161	0.756097561	0.845528455	0.916666667	0.896103896	0.873239437	0.813084112	0.916666667	0.855263158	0.877697842	0.900662252	0.91503268	0.857142857	0.909677419	0.8625	0.9125	0	0.901041667
P8_LV78_V_D	0.924731183	0.928176796	0.895027624	0.908496732	0.894009217	0.871921182	0.872641509	0.87109375	0.921259843	0.870833333	0.91958042	0.936936937	0.90521327	0.914728682	0.902097902	0.90625	0.90625	0.921875	0.92195122	0.889908257	0.903614458	0.888888889	0.905472637	0.923076923	0.907692308	0.91416309	0.913580247	0.916666667	0.903361345	0.92578125	0.959183673	0.941489362	0.916299559	0.927868852	0.927083333	0.917322835	0.91221374	0.93258427	0.928571429	0.937269373	0.95	0.938405797	0.901041667	0
