	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
P30_KM73_III_D	0.874129489	0.877495539	0.898998793	0.789588509	0.84280354	0.880645546	0.884362532	0.802275661	0.853306778	0.831196613	0.854949587	0.942857104	0.856804269	0.8834678	0.819130098	0.918291859	0.917987349	0.927993977	0.929705741	0.933862693	0.915758704	0.905832801	0.881982656	0.874532973	0	0.899323246	0.927942993	0.907510745	0.931361828	0.889254888	0.925204738	0.918507129	0.900072211	0.858743291	0.927685408	0.837113762	0.791200957	0.815330412	0.853294692	0.782832708	0.790500617	0.853226037	0.869946962	0.789145523
P30_KM73_IV_D	0.924255656	0.936892448	0.94068284	0.916229716	0.913538748	0.918451156	0.910541213	0.895455207	0.869818095	0.915719896	0.893753788	0.933942629	0.892509488	0.882728471	0.902310541	0.890220904	0.912812573	0.9281003	0.918484518	0.925223193	0.898526795	0.899365324	0.900363346	0.8722767	0.899323246	0	0.820764199	0.895795438	0.917401022	0.894464447	0.946504014	0.937189368	0.859849626	0.917663488	0.939161414	0.860026563	0.911643739	0.917335116	0.895758872	0.902998247	0.882096424	0.922922546	0.902781434	0.927482644
P30_KM73_V_D	0.936745037	0.945718522	0.950920907	0.927845773	0.924458201	0.927137013	0.939853471	0.905113491	0.907900797	0.933808933	0.891829411	0.951822252	0.930993137	0.907232036	0.924187565	0.896884605	0.935310555	0.930667315	0.936556406	0.94239106	0.901272129	0.919511682	0.917298989	0.869712899	0.927942993	0.820764199	0	0.855260666	0.892777519	0.920347435	0.949688762	0.942207205	0.888975322	0.943256424	0.940746648	0.878741735	0.927790384	0.935680378	0.893188599	0.927595473	0.909391666	0.938804376	0.927842512	0.931836962
P30_KM73_VI_D	0.861178497	0.864772353	0.815963316	0.863509164	0.901659987	0.85897698	0.815358164	0.815843999	0.74050287	0.851495121	0.633234112	0.936828008	0.874787285	0.79124263	0.888054612	0.851973837	0.929264032	0.888798142	0.918389575	0.930386998	0.927360754	0.844165719	0.898651974	0.499063954	0.907510745	0.895795438	0.855260666	0	0.886614953	0.913697608	0.914980248	0.868923129	0.765699707	0.906768989	0.875432531	0.794581542	0.855228014	0.819343977	0.655704739	0.831165415	0.849775144	0.943736354	0.657818167	0.907383145
P36_KJ78_I_D	0.901173792	0.930792375	0.90669314	0.909173685	0.910523625	0.925777396	0.876979086	0.900448415	0.853767118	0.921827047	0.887694091	0.937261206	0.905222662	0.842852694	0.92816249	0.911199878	0.932788059	0.911228986	0.934161551	0.938861764	0.920027149	0.887988571	0.934833477	0.850989522	0.931361828	0.917401022	0.892777519	0.886614953	0	0.872406166	0.908517603	0.909626369	0.849037993	0.907011685	0.918031275	0.873629465	0.887283629	0.90221493	0.894878991	0.903893075	0.909164105	0.947372236	0.889990746	0.924841849
P36_KJ78_III_D	0.803443962	0.902285743	0.940750915	0.866802755	0.872606892	0.930116732	0.907267934	0.851498231	0.867411952	0.891128025	0.888522576	0.856752145	0.842225402	0.879858884	0.875208487	0.907590214	0.859077224	0.875864564	0.868415124	0.91862144	0.880126623	0.821588947	0.923269748	0.880325365	0.889254888	0.894464447	0.920347435	0.913697608	0.872406166	0	0.838283969	0.83346474	0.885801596	0.763783984	0.865571927	0.871597847	0.837222616	0.910541935	0.88847695	0.903756083	0.907038219	0.870295129	0.905848662	0.910226096
P36_KJ78_IV_D	0.629162366	0.818805182	0.871213685	0.864915376	0.859452551	0.930901322	0.914931347	0.868180324	0.918912269	0.904993358	0.918119631	0.888233549	0.808600169	0.920994216	0.938733374	0.938337792	0.701631767	0.790240593	0.710855994	0.922375635	0.896199077	0.760616316	0.945341694	0.91384758	0.925204738	0.946504014	0.949688762	0.914980248	0.908517603	0.838283969	0	0.604721279	0.916100698	0.705115488	0.654117515	0.922235965	0.779829752	0.930193833	0.907644864	0.93358383	0.917894823	0.914291518	0.907518612	0.930304379
P36_KJ78_VI_D	0.583745191	0.740126947	0.876672487	0.706153414	0.777486546	0.895238693	0.865852555	0.809134769	0.876389672	0.858448681	0.860293303	0.856296699	0.706926582	0.888553617	0.899028265	0.908903396	0.731319702	0.700808249	0.724161329	0.916593237	0.916348099	0.750491764	0.930833528	0.873673757	0.918507129	0.937189368	0.942207205	0.868923129	0.909626369	0.83346474	0.604721279	0	0.882812913	0.777799588	0.303369926	0.87585725	0.792371074	0.885274197	0.859409519	0.891194466	0.876487508	0.946138732	0.844881277	0.921393341
P37_SJ55_I_D	0.866437248	0.882049476	0.879163485	0.867514547	0.90547149	0.868036415	0.854486357	0.833525989	0.790653413	0.881508121	0.792122355	0.931137947	0.867214266	0.732146532	0.864849251	0.833561325	0.917010431	0.890097079	0.922971611	0.919957156	0.901230951	0.793384772	0.875189587	0.781817383	0.900072211	0.859849626	0.888975322	0.765699707	0.849037993	0.885801596	0.916100698	0.882812913	0	0.89509954	0.889659779	0.583232163	0.855788178	0.852859799	0.715722927	0.832469414	0.83926501	0.943134542	0.780655839	0.891579315
P37_SJ55_II_D	0.78905284	0.877296302	0.930198601	0.854777955	0.859562435	0.927884467	0.924150655	0.845370384	0.893864429	0.826206879	0.897651776	0.888513838	0.825676924	0.905001012	0.876041396	0.930330248	0.822940896	0.854685263	0.811968314	0.927427693	0.88599931	0.816515724	0.915549359	0.914747814	0.858743291	0.917663488	0.943256424	0.906768989	0.907011685	0.763783984	0.705115488	0.777799588	0.89509954	0	0.813546873	0.880041786	0.807122464	0.887059933	0.891962253	0.877623923	0.898526131	0.895637756	0.908441304	0.869001604
