	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
P36_KJ78_I_D	0.288066507	0.267077629	0.153186138	0.218739372	0.168581654	0.181552529	0.180595238	0.203287524	0.126444259	0.186333948	0.101701723	0.314147144	0.125551864	0.153775678	0.190079533	0.198114863	0.303067441	0.258092083	0.320584393	0.225445266	0.273338988	0.165848443	0.12423304	0.099153746	0.241394278	0.261662626	0.242330801	0.143368567	0	0.217166239	0.279985571	0.269960617	0.097827966	0.216809753	0.213670082	0.140452626	0.185124494	0.230568887	0.142259626	0.25047136	0.191829591	0.220580224	0.133282122	0.249525057
P36_KJ78_III_D	0.258015564	0.245442646	0.270608596	0.233778048	0.221092636	0.260692829	0.255965724	0.224037578	0.225592113	0.193627667	0.254049618	0.351105376	0.236435618	0.229189217	0.248705505	0.198443367	0.268653607	0.242253284	0.2804157	0.270813946	0.265101061	0.174374043	0.261910367	0.248528097	0.264212005	0.225684399	0.21959729	0.188095719	0.217166239	0	0.255984053	0.251269902	0.171540457	0.161742174	0.221234647	0.211001888	0.215133333	0.239634948	0.229746677	0.289491344	0.310776343	0.289209433	0.273920607	0.240669755
P36_KJ78_IV_D	0.041553518	0.053638962	0.244415884	0.266819033	0.207272588	0.251803767	0.258870869	0.268749937	0.29680337	0.222976498	0.295973339	0.330788896	0.205751122	0.282838483	0.307331758	0.305389001	0.088035518	0.063247537	0.089527286	0.273280373	0.294072371	0.173977459	0.290131057	0.291771844	0.312292831	0.291746771	0.264256286	0.237059848	0.279985571	0.255984053	0	0.033763738	0.231239997	0.164748957	0.107124131	0.262435531	0.202306969	0.263524404	0.289691218	0.308688401	0.336400746	0.341322329	0.306462319	0.298318312
P36_KJ78_VI_D	0.042882978	0.040803581	0.229482091	0.250174994	0.193069578	0.236165421	0.243005072	0.251404596	0.28129863	0.20701553	0.279057359	0.326835848	0.188654743	0.266666547	0.290056978	0.294487725	0.080676467	0.04709958	0.0847939	0.262874419	0.284656627	0.162056777	0.275127231	0.275083204	0.296823306	0.285886906	0.259344387	0.220241583	0.269960617	0.251269902	0.033763738	0	0.217371717	0.156914333	0.084039404	0.246298835	0.187151078	0.248611895	0.272692489	0.296719156	0.320778017	0.331317876	0.289944861	0.28290246
P37_SJ55_I_D	0.236050632	0.212003737	0.17287564	0.201007625	0.155402225	0.167136646	0.170248955	0.17451617	0.104588213	0.151832801	0.125440707	0.307674319	0.143333172	0.130786792	0.174523573	0.141367195	0.264425292	0.211636677	0.281567612	0.221934911	0.237665684	0.120624202	0.142008946	0.114323355	0.215731839	0.199435145	0.185560812	0.069885205	0.097827966	0.171540457	0.231239997	0.217371717	0	0.175579448	0.161890915	0.09682193	0.158864259	0.201048536	0.118568924	0.236345571	0.211546946	0.23418226	0.146524647	0.221979177
P37_SJ55_II_D	0.174280076	0.153122057	0.209808059	0.196601213	0.134562845	0.199803424	0.19839547	0.18665717	0.220769642	0.130428655	0.227679307	0.29893827	0.154323365	0.217931571	0.212116391	0.234127582	0.190758004	0.143156117	0.206436725	0.226909751	0.234936366	0.114683843	0.239198781	0.234742328	0.216456417	0.260974472	0.249743411	0.180737153	0.216809753	0.161742174	0.164748957	0.156914333	0.175579448	0	0.126885357	0.199618241	0.143281298	0.197530166	0.219230343	0.239844975	0.275536399	0.269781733	0.258211719	0.205698611
P37_SJ55_III_D	0.108041174	0.08359584	0.173414328	0.200316642	0.139415141	0.159378121	0.168994943	0.187952012	0.216466007	0.145172816	0.210222063	0.293905891	0.115919199	0.204165226	0.225286915	0.235256377	0.131184659	0.081849141	0.148865865	0.210811137	0.23325666	0.103850803	0.218716809	0.204839188	0.237619728	0.274579928	0.255047486	0.152455411	0.213670082	0.221234647	0.107124131	0.084039404	0.161890915	0.126885357	0	0.186307897	0.135065123	0.21268551	0.203475595	0.264716947	0.260325268	0.280426506	0.23237342	0.231778069
P37_SJ55_IV_D	0.264733526	0.226847726	0.200455557	0.197298276	0.193770964	0.185385158	0.195302391	0.163271929	0.136338416	0.155226973	0.145533665	0.318082621	0.172620586	0.141715419	0.14348705	0.18490357	0.297444036	0.243680515	0.313370906	0.260640885	0.276062695	0.155519812	0.17645445	0.153214846	0.199319919	0.243509788	0.226030948	0.109243933	0.140452626	0.211001888	0.262435531	0.246298835	0.09682193	0.199618241	0.186307897	0	0.170507325	0.131376351	0.137459559	0.204315154	0.234439003	0.254101728	0.180197451	0.202970755
P37_SJ55_V_D	0.202232923	0.162185981	0.140938017	0.148574755	0.114298168	0.14896155	0.163105431	0.169593259	0.193800006	0.134929012	0.173231944	0.30103337	0.096441363	0.206205092	0.196857552	0.257543655	0.23657247	0.187732475	0.253458444	0.191825209	0.242660573	0.137831656	0.190281261	0.182899363	0.22107074	0.309717918	0.295136571	0.184106631	0.185124494	0.215133333	0.202306969	0.187151078	0.158864259	0.143281298	0.135065123	0.170507325	0	0.185716989	0.197808728	0.23376245	0.220503177	0.233926888	0.198519682	0.207863285
P37_SJ55_VI_D	0.265326127	0.222741342	0.228766917	0.213408775	0.218547865	0.194056133	0.201088084	0.176340021	0.191314403	0.171571082	0.201289789	0.292737154	0.196986244	0.187176595	0.188716751	0.251150862	0.295604089	0.248695836	0.313627836	0.292885321	0.309453277	0.193786912	0.242090162	0.225657503	0.228716719	0.299123507	0.283623067	0.191330748	0.230568887	0.239634948	0.263524404	0.248611895	0.201048536	0.197530166	0.21268551	0.131376351	0.185716989	0	0.201640883	0.189292265	0.280556406	0.288664406	0.251207614	0.216017274
P43_BR63_I_D	0.291728814	0.258000763	0.1994475	0.215533894	0.202726139	0.101792548	0.100042792	0.182397561	0.080447522	0.170123255	0.122401585	0.223333064	0.164895577	0.062854473	0.190525493	0.192094846	0.322705099	0.27070092	0.341722921	0.278071477	0.297397413	0.179240228	0.170036724	0.127857479	0.215339268	0.264875496	0.245782703	0.088825327	0.142259626	0.229746677	0.289691218	0.272692489	0.118568924	0.219230343	0.203475595	0.137459559	0.197808728	0.201640883	0	0.135718897	0.231957668	0.258839867	0.170610181	0.231591263
P43_BR63_III_D	0.308644299	0.277393737	0.248861671	0.222615935	0.253283289	0.169798088	0.172111253	0.195986599	0.167757476	0.203699629	0.198283364	0.204156537	0.230791025	0.14679566	0.218942994	0.284883297	0.341628098	0.300204328	0.359334226	0.342616043	0.37264142	0.255920361	0.245216263	0.229574147	0.201288477	0.325519407	0.312546511	0.201232463	0.25047136	0.289491344	0.308688401	0.296719156	0.236345571	0.239844975	0.264716947	0.204315154	0.23376245	0.189292265	0.135718897	0	0.267969184	0.277420687	0.25245872	0.220988053
P8_LV78_II_D	0.337495761	0.29793886	0.111350549	0.206805881	0.20745731	0.218747826	0.218339886	0.210214493	0.20410626	0.203291706	0.133023693	0.331615112	0.164775068	0.252083844	0.193108648	0.31884337	0.370675602	0.318280836	0.389503196	0.290584726	0.34818028	0.248150026	0.111455797	0.119624351	0.226756241	0.373562808	0.362364057	0.243399123	0.191829591	0.310776343	0.336400746	0.320778017	0.211546946	0.275536399	0.260325268	0.234439003	0.220503177	0.280556406	0.231957668	0.267969184	0	0.154078536	0.082015872	0.23193174
P8_LV78_III_D	0.345769668	0.315203475	0.170429216	0.181531591	0.213497974	0.240836307	0.241680234	0.196265259	0.223251966	0.193444158	0.183245698	0.346092126	0.198144912	0.277481509	0.186602364	0.331931442	0.376992433	0.324042783	0.39228488	0.297462341	0.346972454	0.257439682	0.16630322	0.180903935	0.214275706	0.386971824	0.378062094	0.270178268	0.220580224	0.289209433	0.341322329	0.331317876	0.23418226	0.269781733	0.280426506	0.254101728	0.233926888	0.288664406	0.258839867	0.277420687	0.154078536	0	0.17616256	0.196238914
P8_LV78_IV_D	0.307510436	0.272013083	0.07601893	0.205926833	0.205549638	0.192329189	0.195758652	0.207367026	0.159223708	0.202155716	0.074658443	0.310250643	0.140554142	0.196615831	0.175235076	0.263693266	0.345745758	0.287360243	0.35851413	0.261973242	0.309129401	0.204369239	0.065231995	0.054891752	0.229265347	0.318596717	0.301760175	0.176638704	0.133282122	0.273920607	0.306462319	0.289944861	0.146524647	0.258211719	0.23237342	0.180197451	0.198519682	0.251207614	0.170610181	0.25245872	0.082015872	0.17616256	0	0.239154114
P8_LV78_V_D	0.299845239	0.256908242	0.219327285	0.156785104	0.207462391	0.224656185	0.226674169	0.11370208	0.217493229	0.136481257	0.222129306	0.332844232	0.210065047	0.245176046	0.180171936	0.296685159	0.331297267	0.278472616	0.348557624	0.308847132	0.32872596	0.220478457	0.228033111	0.230417148	0.128069755	0.344773328	0.335503788	0.230240225	0.249525057	0.240669755	0.298318312	0.28290246	0.221979177	0.205698611	0.231778069	0.202970755	0.207863285	0.216017274	0.231591263	0.220988053	0.23193174	0.196238914	0.239154114	0
