	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
P36_KJ78_I_D	0.923572474	0.929721816	0.682284041	0.872327965	0.843045388	0.824597365	0.799414348	0.743191801	0.555197657	0.795021962	0.560175695	0.931771596	0.867935578	0.655929722	0.671742313	0.632210835	0.92181552	0.915666179	0.934114202	0.694289898	0.688140556	0.643338214	0.64363104	0.69897511	0.785944363	0.598828697	0.634553441	0.629868228	0	0.686383602	0.926207906	0.922108346	0.313323572	0.813469985	0.927964861	0.390629575	0.831918009	0.719472914	0.7238653	0.835431918	0.886383602	0.906002928	0.470278184	0.782430454
P36_KJ78_III_D	0.892240117	0.889311859	0.85534407	0.856808199	0.816398243	0.836310395	0.807906296	0.741434846	0.78272328	0.770424597	0.757247438	0.907174231	0.857101025	0.771010249	0.786530015	0.751390922	0.923572474	0.902196193	0.910102489	0.838945827	0.784187408	0.762518302	0.733821376	0.776573939	0.819326501	0.760175695	0.780966325	0.781844802	0.686383602	0	0.825183016	0.821961933	0.764275256	0.827525622	0.902781845	0.766325037	0.803221083	0.74875549	0.854465593	0.80204978	0.881991215	0.831918009	0.781844802	0.801171303
P36_KJ78_IV_D	0.905710102	0.890775988	0.885505124	0.928550512	0.883162518	0.879355783	0.885505124	0.888433382	0.914494876	0.887847731	0.883455344	0.912445095	0.878770132	0.903367496	0.925036603	0.909516837	0.949633968	0.896046852	0.952855051	0.890483163	0.891654466	0.917715959	0.879355783	0.885505124	0.907174231	0.916544656	0.911859444	0.889604685	0.926207906	0.825183016	0	0.071742313	0.948169839	0.923572474	0.872620791	0.966325037	0.92181552	0.942606149	0.889604685	0.921229868	0.885505124	0.887847731	0.881405564	0.932942899
P36_KJ78_VI_D	0.903953148	0.876720351	0.87057101	0.921229868	0.860322108	0.862079063	0.868228404	0.886676428	0.911273792	0.875549048	0.867057101	0.910395315	0.864128843	0.907174231	0.920644217	0.905417277	0.943191801	0.887262079	0.948462665	0.888726208	0.887847731	0.912445095	0.861493411	0.869692533	0.896632504	0.912737921	0.910102489	0.874377745	0.922108346	0.821961933	0.071742313	0	0.94670571	0.924158126	0.856808199	0.963396779	0.917423133	0.939677892	0.879355783	0.916837482	0.869106881	0.874963397	0.871742313	0.925915081
P37_SJ55_I_D	0.945534407	0.942606149	0.701610542	0.882869693	0.861200586	0.819033675	0.793557833	0.750805271	0.525036603	0.795314788	0.548169839	0.925036603	0.869106881	0.598243045	0.674963397	0.607906296	0.910395315	0.911273792	0.918594436	0.690775988	0.669985359	0.618448023	0.633089312	0.680819912	0.78682284	0.51420205	0.53909224	0.528550512	0.313323572	0.764275256	0.948169839	0.94670571	0	0.827818448	0.929136164	0.307467057	0.843338214	0.722986823	0.710688141	0.838945827	0.898682284	0.925036603	0.525329429	0.816398243
P37_SJ55_II_D	0.538506589	0.538799414	0.671449488	0.690190337	0.54875549	0.738799414	0.703367496	0.674084919	0.836310395	0.628989751	0.829282577	0.877891654	0.674963397	0.821376281	0.766617862	0.779502196	0.600585652	0.600292826	0.608199122	0.638653001	0.642166911	0.649487555	0.787115666	0.870863836	0.783308931	0.848901903	0.861786237	0.867057101	0.813469985	0.827525622	0.923572474	0.924158126	0.827818448	0	0.522401171	0.826354319	0.478477306	0.658565154	0.867057101	0.798828697	0.826939971	0.824011713	0.825475842	0.727672035
P37_SJ55_III_D	0.387994143	0.343777452	0.57920937	0.699560761	0.420497804	0.5522694	0.549633968	0.714787701	0.901610542	0.633674963	0.818740849	0.754026354	0.462664714	0.882869693	0.817862372	0.85885798	0.48374817	0.396486091	0.478477306	0.6	0.601756955	0.634260615	0.706881406	0.760761347	0.834553441	0.892532943	0.892532943	0.804099561	0.927964861	0.902781845	0.872620791	0.856808199	0.929136164	0.522401171	0	0.957247438	0.523572474	0.7522694	0.838653001	0.882869693	0.719180088	0.715959004	0.826061493	0.789751098
P37_SJ55_IV_D	0.961639824	0.959297218	0.8	0.897803807	0.874670571	0.852122987	0.826647145	0.767789165	0.609077599	0.819912152	0.610541728	0.951390922	0.897510981	0.630161054	0.736749634	0.611713031	0.9238653	0.93704246	0.935578331	0.752562225	0.711566618	0.646852123	0.648609078	0.708052709	0.800878477	0.568667643	0.587115666	0.558418741	0.390629575	0.766325037	0.966325037	0.963396779	0.307467057	0.826354319	0.957247438	0	0.830746706	0.650366032	0.753147877	0.828989751	0.914494876	0.936163982	0.567203514	0.824597365
P37_SJ55_V_D	0.536749634	0.555783309	0.691068814	0.701903367	0.609370425	0.747877013	0.718301611	0.695754026	0.884919473	0.687262079	0.87818448	0.871156662	0.672913616	0.87057101	0.793850659	0.828696925	0.551683748	0.561639824	0.577452416	0.643923865	0.674963397	0.68374817	0.798535871	0.884919473	0.816398243	0.884919473	0.882869693	0.889604685	0.831918009	0.803221083	0.92181552	0.917423133	0.843338214	0.478477306	0.523572474	0.830746706	0	0.624304539	0.888433382	0.834846266	0.818155198	0.819326501	0.824011713	0.744363104
P37_SJ55_VI_D	0.785358712	0.759004392	0.76749634	0.799414348	0.708931186	0.757833089	0.721522694	0.656222548	0.81522694	0.704538799	0.788286969	0.875549048	0.718008785	0.768081991	0.785065886	0.747291362	0.744070278	0.746120059	0.766325037	0.696339678	0.669106881	0.660322108	0.713030747	0.813469985	0.823133236	0.805270864	0.816691069	0.811127379	0.719472914	0.74875549	0.942606149	0.939677892	0.722986823	0.658565154	0.7522694	0.650366032	0.624304539	0	0.859736457	0.755197657	0.858272328	0.839238653	0.737335286	0.768374817
P43_BR63_I_D	0.896046852	0.852708638	0.727379209	0.849194729	0.755197657	0.716837482	0.685505124	0.761346999	0.644216691	0.743777452	0.635724744	0.796193265	0.791508053	0.62489019	0.766032211	0.702489019	0.930307467	0.864421669	0.938799414	0.739677892	0.7238653	0.7238653	0.712737921	0.714494876	0.802635432	0.774231332	0.797071742	0.668228404	0.7238653	0.854465593	0.889604685	0.879355783	0.710688141	0.867057101	0.838653001	0.753147877	0.888433382	0.859736457	0	0.745534407	0.781259151	0.790629575	0.687554905	0.855636896
P43_BR63_III_D	0.892532943	0.889604685	0.824304539	0.835139092	0.795021962	0.80204978	0.803806735	0.742020498	0.778038067	0.719472914	0.78682284	0.899267936	0.843045388	0.750512445	0.79033675	0.803513909	0.917130307	0.892532943	0.918887262	0.81727672	0.804392387	0.808491947	0.819326501	0.857979502	0.80556369	0.826354319	0.861786237	0.826354319	0.835431918	0.80204978	0.921229868	0.916837482	0.838945827	0.798828697	0.882869693	0.828989751	0.834846266	0.755197657	0.745534407	0	0.828989751	0.831039531	0.824597365	0.817862372
P8_LV78_II_D	0.823718887	0.78272328	0.705124451	0.821376281	0.585065886	0.659736457	0.657686676	0.753440703	0.845387994	0.729721816	0.740263543	0.864714495	0.588579795	0.829868228	0.81317716	0.816105417	0.879941435	0.775402635	0.884040996	0.765153734	0.758125915	0.79443631	0.454172767	0.516544656	0.799707174	0.858565154	0.857393851	0.765739385	0.886383602	0.881991215	0.885505124	0.869106881	0.898682284	0.826939971	0.719180088	0.914494876	0.818155198	0.858272328	0.781259151	0.828989751	0	0.589458272	0.76954612	0.829868228
P8_LV78_III_D	0.789751098	0.755197657	0.695168375	0.777452416	0.578038067	0.661786237	0.661200586	0.73909224	0.867349927	0.67818448	0.784187408	0.857686676	0.607320644	0.859443631	0.801464129	0.838653001	0.851830161	0.743777452	0.857101025	0.748169839	0.740556369	0.78272328	0.595900439	0.659736457	0.806734993	0.867935578	0.864714495	0.795314788	0.906002928	0.831918009	0.887847731	0.874963397	0.925036603	0.824011713	0.715959004	0.936163982	0.819326501	0.839238653	0.790629575	0.831039531	0.589458272	0	0.786530015	0.780673499
P8_LV78_IV_D	0.872035139	0.844509517	0.438653001	0.840409956	0.715373353	0.690190337	0.667642753	0.683455344	0.462371889	0.719180088	0.407027818	0.884040996	0.749341142	0.619619327	0.562518302	0.603806735	0.899853587	0.821376281	0.912445095	0.531771596	0.520644217	0.538213763	0.517715959	0.593557833	0.739970717	0.665007321	0.684626647	0.653879941	0.470278184	0.781844802	0.881405564	0.871742313	0.525329429	0.825475842	0.826061493	0.567203514	0.824011713	0.737335286	0.687554905	0.824597365	0.76954612	0.786530015	0	0.78477306
P8_LV78_V_D	0.783016105	0.793557833	0.702781845	0.718887262	0.686383602	0.669106881	0.671742313	0.60556369	0.791508053	0.639531479	0.796778917	0.853001464	0.711566618	0.797364568	0.693704246	0.760175695	0.78477306	0.768081991	0.793850659	0.694582723	0.695754026	0.696339678	0.75636896	0.85534407	0.724743777	0.804099561	0.845095168	0.85885798	0.782430454	0.801171303	0.932942899	0.925915081	0.816398243	0.727672035	0.789751098	0.824597365	0.744363104	0.768374817	0.855636896	0.817862372	0.829868228	0.780673499	0.78477306	0
