#																																																																																				
#OTU ID	K11_JV87_I_D	K11_JV87_IV_D	K12_KJ78_I_D	K12_KJ78_IV_D	K16_PP75_I_D	K16_PP75_IV_D	K17_SS75_I_D	K17_SS75_IV_D	K2_NL71_I_D	K2_NL71_IV_D	K20_HO76_I_D	K20_HO76_IV_D	K21_KT86_I_D	K23_JM85_I_D	K27_BA81_II_D	K28_KZ83_I_D	K3_KM78_I_D	K3_KM78_IV_D	K30_SF95_I_D	K31_MM80_I_D	K31_MM80_IV_D	K32_KS89_I_D	K34_BI96_I_D	K34_BI96_IV_D	K39_DS96_I_D	K4_RR79_I_D	K40_WV86_I_D	K40_WV86_IV_D	K41_NE90_I_D	K41_NE90_IV_D	K43_KZ94_I_D	K5_JZ92_I_D	K5_JZ92_IV_D	K8_KP79_I_D	K9_KM80_I_D	K9_KM80_IV_D	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P11_GT85_VI_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_V_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_II_D	P43_BR63_III_D	P8_LV78_I_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Kocuria;s__Kocuria_palustris	0	0	0	0	0	0	0	0	0	0	0.002582002	0	0.00293114	0	0	0	0	0	0	0.000882418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001607879	0	0	0	0.003123939	0	0	0	0	0.003476085	0	0	0	0	0	0	0.014451886	0	0	0	0	0	0	0	0	0	0.005540166	0	0	0	0	0	0	0	0	0	0.004094677	0	0.00206044	0.002359047	0.007116287	0.002980222	0	0.03923445	0	0	0	0	0.007244396
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus;__	0.001166472	0.000802048	0.004174734	0.006544362	0.000714254	0.003070133	0.001280865	0.001835283	0.006183115	0.00514259	0	0	0.013911978	0	0.003926273	0.008764694	0.002383613	0.003127036	0.004056996	0.011471432	0.000889271	0.000909345	0	0.001086248	0.00087165	0.003075927	0.015696534	0.025945527	0.12075875	0.221533695	0	0	0	0	0	0	0.001330913	0	0	0.003599321	0.004418522	0.005860048	0	0	0.031840934	0.00190076	0.042048356	0.006075707	0	0	0	0	0	0.001429593	0	0	0	0.001108999	0.00135469	0.000292783	0	0.033240997	0.000804577	0.001009138	0	0.000320513	0.027714932	0	0.006722689	0	0.000858047	0.024468191	0	0.002747253	0.010694346	0.044153324	0.018287727	0.008307373	0.137958533	0.068814056	0.010809313	0.010999522	0.003750586	0.004647348
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;__	0	0	0	0	0	0.015158783	0	0	0	0	0	0	0.000743722	0	0	0	0	0	0.001929547	0.000735348	0	0	0	0	0	0	0	0.003614302	0	0	0.001731816	0	0	0	0	0	0	0	0	0	0	0	0.003990878	0.003157128	0.002641824	0.00230092	0.012614507	0.000614397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004920722
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__uncultured_bacterium	0	0.000277632	0	0.000482781	0.000915138	0.016406025	0	0	0	0	0	0	0.007262228	0.00074773	0	0.001340483	0.007299814	0	0.000346329	0	0	0	0	0	0	0	0	0.002194398	0	0	0.023379515	0	0	0	0.002762908	0	0	0	0	0.000882852	0.002474373	0	0	0	0.010011123	0	0	0	0	0.000833797	0	0	0	0	0	0	0	0	0	0.002342263	0.000544323	0	0	0.000392443	0	0	0	0	0.001680672	0.000311284	0	0	0	0	0.00353857	0	0.000677323	0	0.000956938	0	0.004988914	0.009724215	0	0.01831602
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000814941	0	0	0.018386545	0.014247551	0	0.008603441	0	0.003413319	0	0	0.030597234	0	0.00891846	0.004958899	0	0	0.014954742	0.005967469	0.008606263	0.001317523	0.000777605	0	0	0	0	0.000457875	0	0	0	0	0.000482651	0	0	0.000858516	0	0	0.001015985	0	0.000637959	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__uncultured_bacterium	0.856190635	0.851435975	0.732696031	0.504291385	0.166934512	0.383958553	0.819326834	0.678443068	0.800396354	0.796633941	0.901692646	0.713272605	0.065928778	0.177425672	0.787981241	0.736852959	0.670316574	0.641237785	0.045220661	0.64291492	0.529432014	0.546306659	0.772594365	0.855203128	0.748747004	0.574631698	0.190320471	0.524719246	0.241250334	0.151303899	0.265462642	0.790511551	0.718891455	0.841469309	0.788119496	0.771982715	0.858318209	0.786985539	0.295265515	0.239796265	0.402615765	0.462943812	0.354190422	0.288593864	0.168103448	0.014105642	0.248385643	0.010410622	0.296586897	0.390911618	0.023065608	0.110210316	0.044309173	0.804994639	0.780331618	0.866702111	0.393939394	0.356727926	0.366722448	0.060898844	0.014618974	0.06455498	0.025478276	0.018949375	0.007310871	0.005448718	0.154128959	0.842037117	0.641680672	0.807237354	0.026277685	0.403275742	0.673728369	0.016225962	0.410080994	0.181465308	0.008940666	0.043094496	0.044338118	0.183016105	0.069013304	0.097401562	0.015705579	0.151858939
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00030012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002749474	0	0	0.011802233	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000475382	0.001060445	0	0	0	0.010150167	0.003701481	0.0016519	0	0	0	0	0.055340148	0	0	0	0	0	0	0	0	0	0.004937974	0	0	0	0	0.001272624	0	0	0	0	0	0	0.002661401	0	0.002102539	0	0	0.011004785	0	0	0.00047824	0	0.002597048
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__uncultured_bacterium	0.000749875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01310987	0.000390879	0.000197902	0.000514744	0	0	0	0	0	0	0	0	0	0	0.000494805	0	0	0	0	0	0	0	0	0	0.000530223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;__	0	0	0	0	0	0	0	0	0	0	0	0	0.002231166	0	0	0.00103114	0	0	0.000593707	0	0	0	0	0	0	0	0	0	0	0	0.013607125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015006	0	0.000238932	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001083946	0	0	0	0	0	0	0	0	0	0	0	0.001116071	0.000786349	0	0	0	0	0	0	0	0	0
