#																																																
#OTU ID	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P11_GT85_VI_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_V_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_II_D	P43_BR63_III_D	P8_LV78_I_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;__	0	0	0	0.000814941	0	0	0.018386545	0.014247551	0	0.008603441	0	0.003413319	0	0	0.030597234	0	0.00891846	0.004958899	0	0	0.014954742	0.005967469	0.008606263	0.001317523	0.000777605	0	0	0	0	0.000457875	0	0	0	0	0.000482651	0	0	0.000858516	0	0	0.001015985	0	0.000637959	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__uncultured_bacterium	0.858318209	0.786985539	0.295265515	0.239796265	0.402615765	0.462943812	0.354190422	0.288593864	0.168103448	0.014105642	0.248385643	0.010410622	0.296586897	0.390911618	0.023065608	0.110210316	0.044309173	0.804994639	0.780331618	0.866702111	0.393939394	0.356727926	0.366722448	0.060898844	0.014618974	0.06455498	0.025478276	0.018949375	0.007310871	0.005448718	0.154128959	0.842037117	0.641680672	0.807237354	0.026277685	0.403275742	0.673728369	0.016225962	0.410080994	0.181465308	0.008940666	0.043094496	0.044338118	0.183016105	0.069013304	0.097401562	0.015705579	0.151858939
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__	0	0	0	0	0	0	0	0	0	0.00030012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002749474	0	0	0.011802233	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uncultured_bacterium	0	0	0	0.000475382	0.001060445	0	0	0	0.010150167	0.003701481	0.0016519	0	0	0	0	0.055340148	0	0	0	0	0	0	0	0	0	0.004937974	0	0	0	0	0.001272624	0	0	0	0	0	0	0.002661401	0	0.002102539	0	0	0.011004785	0	0	0.00047824	0	0.002597048
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_colorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000849377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024907003	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_disiens	0	0	0	0	0	0	0	0	0	0	0	0.000273066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035759	0	0	0	0	0	0	0	0	0	0	0.00206044	0	0.050622675	0	0	0	0	0	0	0	0.000273373
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__uncultured_bacterium	0	0.001112347	0	0	0	0	0.001710376	0	0.001529477	0.00310124	0.007358462	0.000341332	0	0.001111729	0.00070609	0.00164493	0	0	0	0	0.00167257	0.000844951	0.000557813	0	0.000544323	0	0	0.000336379	0.000127146	0	0	0	0	0	0	0	0	0.051167582	0.00353857	0.02264273	0.000609591	0	0.001275917	0	0	0.013231309	0	0.018452706
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010927036	0	0	0	0	0	0	0	0	0	0.001324822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast;__	0.001814882	0	0.001919386	0.036332767	0	0.003447087	0	0	0.003337041	0	0.019972969	0	0	0	0.001176817	0.015039361	0	0	0	0	0	0	0	0.003952569	0.001088647	0.009635072	0.001787949	0	0.000635728	0.000503663	0.0364819	0	0.007731092	0	0.000804419	0.016079097	0	0	0.005583078	0	0	0	0.00446571	0	0.006651885	0.024549657	0.004336615	0.028840897
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast;s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0.003501401	0	0	0	0	0	0.004582305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000804419	0.012184161	0	0	0.000629079	0.001779072	0	0	0	0	0	0.007811255	0	0.041552761
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022401542	0	0	0	0	0	0	0	0	0	0.000998702	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Eremococcus;s__uncultured_bacterium	0.000604961	0	0	0	0	0	0	0	0	0	0	0.000307199	0	0	0	0.000587475	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001739927	0.011170814	0	0.001344538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
