	K11_JV87_I_D	K11_JV87_IV_D	K12_KJ78_I_D	K12_KJ78_IV_D	K16_PP75_I_D	K16_PP75_IV_D	K17_SS75_I_D	K17_SS75_IV_D	K2_NL71_I_D	K2_NL71_IV_D	K20_HO76_I_D	K20_HO76_IV_D	K21_KT86_I_D	K23_JM85_I_D	K27_BA81_II_D	K28_KZ83_I_D	K3_KM78_I_D	K3_KM78_IV_D	K30_SF95_I_D	K32_KS89_I_D	K34_BI96_I_D	K34_BI96_IV_D	K39_DS96_I_D	K4_RR79_I_D	K40_WV86_IV_D	K41_NE90_I_D	K41_NE90_IV_D	K43_KZ94_I_D	K5_JZ92_I_D	K5_JZ92_IV_D	K8_KP79_I_D	K9_KM80_I_D	K9_KM80_IV_D	P11_GT85_I_D	P11_GT85_II_D	P11_GT85_III_D	P11_GT85_IV_D	P11_GT85_V_D	P17_BH58_I_D	P17_BH58_II_D	P17_BH58_III_D	P17_BH58_IV_D	P17_BH58_V_D	P17_BH58_VI_D	P18_SJ75_I_D	P18_SJ75_II_D	P18_SJ75_III_D	P18_SJ75_IV_D	P18_SJ75_V_D	P2_ZM87_I_D	P2_ZM87_II_D	P2_ZM87_III_D	P2_ZM87_IV_D	P2_ZM87_V_D	P2_ZM87_VI_D	P30_KM73_I_D	P30_KM73_II_D	P30_KM73_III_D	P30_KM73_IV_D	P30_KM73_V_D	P30_KM73_VI_D	P36_KJ78_I_D	P36_KJ78_III_D	P36_KJ78_IV_D	P36_KJ78_VI_D	P37_SJ55_I_D	P37_SJ55_II_D	P37_SJ55_III_D	P37_SJ55_IV_D	P37_SJ55_V_D	P37_SJ55_VI_D	P43_BR63_I_D	P43_BR63_III_D	P8_LV78_II_D	P8_LV78_III_D	P8_LV78_IV_D	P8_LV78_V_D
P43_BR63_I_D	0.9569546120058565	0.9478770131771596	0.9777452415812592	0.963103953147877	0.8316251830161054	0.8289897510980966	0.9045387994143484	0.832796486090776	0.9030746705710102	0.9191800878477306	0.9610541727672035	0.8453879941434846	0.7361639824304539	0.853294289897511	0.9513909224011713	0.9458272327964861	0.8784773060029283	0.8251830161054172	0.8155197657393851	0.8591508052708638	0.9437774524158126	0.9317715959004392	0.8591508052708638	0.8225475841874085	0.8585651537335286	0.7513909224011713	0.7789165446559297	0.9364568081991215	0.9806734992679356	0.9218155197657394	0.9730600292825768	0.9226939970717423	0.8609077598828697	0.8960468521229868	0.8527086383601757	0.7273792093704246	0.849194729136164	0.7551976573938507	0.7168374816983895	0.6855051244509517	0.7613469985358712	0.6442166910688141	0.7437774524158126	0.6357247437774524	0.7961932650073207	0.7915080527086383	0.6248901903367496	0.7660322108345534	0.702489019033675	0.930307467057101	0.8644216691068815	0.9387994143484627	0.7396778916544656	0.7238653001464129	0.7238653001464129	0.7127379209370425	0.7144948755490483	0.8026354319180088	0.7742313323572474	0.7970717423133236	0.6682284040995607	0.7238653001464129	0.8544655929721815	0.8896046852122986	0.8793557833089312	0.710688140556369	0.8670571010248902	0.8386530014641288	0.7531478770131772	0.8884333821376281	0.8597364568081991	0.0	0.7455344070278185	0.7812591508052709	0.7906295754026355	0.6875549048316252	0.8556368960468521
P43_BR63_III_D	0.9209370424597365	0.9241581259150805	0.9314787701317716	0.8831625183016105	0.8752562225475842	0.8752562225475842	0.8969253294289897	0.8746705710102489	0.8948755490483162	0.893411420204978	0.9300146412884334	0.8878477306002929	0.7232796486090776	0.8781844802342607	0.9077598828696926	0.9089311859443631	0.8840409956076135	0.8720351390922401	0.8758418740849194	0.8740849194729137	0.9106881405563689	0.9054172767203514	0.8896046852122986	0.861493411420205	0.812298682284041	0.6808199121522694	0.7253294289897511	0.8896046852122986	0.9531478770131772	0.9048316251830161	0.939385065885798	0.8919472913616399	0.8676427525622254	0.8925329428989751	0.8896046852122986	0.8243045387994143	0.8351390922401172	0.7950219619326501	0.8020497803806735	0.8038067349926794	0.7420204978038067	0.7780380673499268	0.7194729136163982	0.7868228404099561	0.8992679355783308	0.8430453879941435	0.7505124450951683	0.7903367496339678	0.8035139092240117	0.9171303074670571	0.8925329428989751	0.9188872620790629	0.8172767203513909	0.8043923865300147	0.8084919472913616	0.8193265007320644	0.8579795021961932	0.8055636896046852	0.8263543191800878	0.8617862371888726	0.8263543191800878	0.8354319180087848	0.8020497803806735	0.9212298682284041	0.9168374816983894	0.8389458272327965	0.7988286969253294	0.8828696925329429	0.8289897510980966	0.8348462664714494	0.7551976573938507	0.7455344070278185	0.0	0.8289897510980966	0.8310395314787701	0.824597364568082	0.8178623718887262
P8_LV78_II_D	0.8960468521229868	0.8966325036603221	0.9288433382137629	0.9282576866764275	0.6032210834553441	0.6916544655929722	0.8313323572474378	0.7458272327964861	0.83601756954612	0.8579795021961932	0.9142020497803807	0.7311859443631039	0.7379209370424598	0.6530014641288433	0.8910688140556369	0.8814055636896047	0.7953147877013177	0.6907759882869693	0.5355783308931186	0.7396778916544656	0.9013177159590043	0.8831625183016105	0.8084919472913616	0.7581259150805271	0.8158125915080527	0.6843338213762811	0.7613469985358712	0.8723279648609078	0.9256222547584187	0.881112737920937	0.9159590043923865	0.8632503660322108	0.7639824304538799	0.8237188872620791	0.7827232796486091	0.7051244509516837	0.821376281112738	0.5850658857979503	0.6597364568081991	0.6576866764275257	0.7534407027818448	0.8453879941434846	0.7297218155197658	0.7402635431918009	0.8647144948755491	0.5885797950219619	0.8298682284040996	0.8131771595900439	0.8161054172767204	0.8799414348462665	0.775402635431918	0.8840409956076135	0.7651537335285505	0.7581259150805271	0.7944363103953148	0.4541727672035139	0.5165446559297218	0.7997071742313323	0.8585651537335286	0.857393850658858	0.7657393850658858	0.8863836017569546	0.88199121522694	0.8855051244509516	0.8691068814055637	0.8986822840409956	0.8269399707174231	0.7191800878477306	0.9144948755490483	0.8181551976573939	0.8582723279648609	0.7812591508052709	0.8289897510980966	0.0	0.5894582723279649	0.7695461200585652	0.8298682284040996
P8_LV78_III_D	0.8653001464128843	0.8647144948755491	0.8828696925329429	0.8954612005856515	0.6509516837481698	0.6767203513909223	0.812298682284041	0.7212298682284041	0.7941434846266472	0.8143484626647145	0.8843338213762811	0.7399707174231333	0.7265007320644217	0.7405563689604685	0.8635431918008785	0.8717423133235724	0.7595900439238653	0.668814055636896	0.7250366032210834	0.747584187408492	0.8726207906295754	0.8538799414348462	0.7762811127379209	0.730307467057101	0.763103953147877	0.6875549048316252	0.750805270863836	0.8439238653001464	0.8884333821376281	0.8465592972181551	0.881112737920937	0.8175695461200586	0.7563689604685212	0.7897510980966325	0.7551976573938507	0.6951683748169839	0.7774524158125915	0.5780380673499268	0.6617862371888726	0.6612005856515374	0.7390922401171303	0.8673499267935578	0.6781844802342606	0.7841874084919473	0.8576866764275256	0.6073206442166911	0.8594436310395315	0.8014641288433382	0.8386530014641288	0.8518301610541728	0.7437774524158126	0.8571010248901904	0.7481698389458272	0.7405563689604685	0.7827232796486091	0.595900439238653	0.6597364568081991	0.8067349926793558	0.8679355783308931	0.8647144948755491	0.7953147877013177	0.9060029282576867	0.8319180087847731	0.8878477306002929	0.8749633967789165	0.9250366032210835	0.8240117130307467	0.7159590043923866	0.9361639824304538	0.8193265007320644	0.8392386530014642	0.7906295754026355	0.8310395314787701	0.5894582723279649	0.0	0.7865300146412885	0.7806734992679356
P8_LV78_IV_D	0.9048316251830161	0.9171303074670571	0.9604685212298683	0.9510980966325037	0.7932650073206442	0.8169838945827232	0.8831625183016105	0.7797950219619326	0.8869692532942899	0.8931185944363104	0.9595900439238653	0.853294289897511	0.8043923865300147	0.8515373352855051	0.9332357247437775	0.9546120058565154	0.8544655929721815	0.8184480234260615	0.8207906295754026	0.7654465592972182	0.9355783308931186	0.9016105417276721	0.8632503660322108	0.8146412884333821	0.8658857979502196	0.7180087847730601	0.7572474377745242	0.9212298682284041	0.9730600292825768	0.8975109809663251	0.9645680819912152	0.8424597364568082	0.8339677891654466	0.8720351390922401	0.8445095168374817	0.43865300146412883	0.8404099560761347	0.7153733528550512	0.6901903367496339	0.6676427525622255	0.6834553440702782	0.4623718887262079	0.7191800878477306	0.40702781844802344	0.8840409956076135	0.7493411420204978	0.619619326500732	0.5625183016105417	0.6038067349926793	0.8998535871156662	0.821376281112738	0.9124450951683748	0.5317715959004392	0.5206442166910689	0.5382137628111274	0.5177159590043924	0.5935578330893119	0.7399707174231333	0.6650073206442166	0.6846266471449488	0.6538799414348463	0.4702781844802343	0.7818448023426061	0.8814055636896047	0.8717423133235724	0.5253294289897511	0.825475841874085	0.8260614934114202	0.567203513909224	0.8240117130307467	0.7373352855051245	0.6875549048316252	0.824597364568082	0.7695461200585652	0.7865300146412885	0.0	0.7847730600292826
P8_LV78_V_D	0.799121522693997	0.8061493411420205	0.821376281112738	0.821376281112738	0.7806734992679356	0.7765739385065886	0.8008784773060029	0.7727672035139093	0.7932650073206442	0.7906295754026355	0.8547584187408492	0.8363103953147877	0.7727672035139093	0.8506588579795022	0.8248901903367496	0.8535871156661786	0.7909224011713031	0.7786237188872621	0.8796486090775988	0.7997071742313323	0.8292825768667643	0.8020497803806735	0.8181551976573939	0.7809663250366032	0.7683748169838945	0.7452415812591509	0.8240117130307467	0.750805270863836	0.8647144948755491	0.8020497803806735	0.8404099560761347	0.7806734992679356	0.7850658857979502	0.7830161054172767	0.7935578330893118	0.7027818448023426	0.718887262079063	0.6863836017569546	0.6691068814055637	0.6717423133235725	0.6055636896046852	0.7915080527086383	0.6395314787701317	0.7967789165446559	0.8530014641288434	0.7115666178623719	0.7973645680819912	0.6937042459736457	0.7601756954612006	0.7847730600292826	0.7680819912152269	0.7938506588579795	0.6945827232796487	0.6957540263543192	0.6963396778916545	0.7563689604685212	0.8553440702781845	0.7247437774524158	0.804099560761347	0.845095168374817	0.8588579795021962	0.7824304538799415	0.8011713030746705	0.9329428989751098	0.9259150805270864	0.816398243045388	0.7276720351390923	0.7897510980966325	0.824597364568082	0.7443631039531479	0.7683748169838945	0.8556368960468521	0.8178623718887262	0.8298682284040996	0.7806734992679356	0.7847730600292826	0.0
